Restitution,Etape,Principe,Paramètre ,Degré_Retenu_P,Sources,Justification_Degré_Retenu_P,Deal-Breaker,Commentaire,source_sheet,source_file,Source,Deal-Breaker (Oui/Non),Commentaires ,Paramètre
Angola - Etats-Unis,E1,transparence (P_T) ,1. modalités d'accès à l'information ,Degré 1,"(1) Brimbeuf, S., & Zitoumbi, R. (2022). Guide Pratique pour une restitution responsable des biens mal acquis. In transparency-france.org. Transparency International France. https://transparency-france.org/wp-content/uploads/2022/04/Guide-Pratique_WEB.pdf ; (2) Enderlin, S. (2005, December 3). Projet suisse inédit en Angola. Letemps.ch; Le Temps. https://www.letemps.ch/monde/projet-suisse-inedit-angola?srsltid=AfmBOoqoFw_hHlWlUe-SDYUjXYrwMZCvkoiJ79mmJCaHeDvLzPHsYA6O","L’accord des négociations entre les Etats n’est pas publié du tout. (1). Par ailleurs, les informations qui sont publiées ne sont pas centralisées, et disponible uniquement en français ou anglais. L’ONG Global Witness Londres s’en est même plein dans une article du temps (2).",Certains contrats entre des parties prenantes ne sont pas publiés (faire descendre d'un niveau).,,Etape 1,SANS déf_Angola_codification (V3 C) copy.xlsx,,,,
Angola - Etats-Unis,E1,transparence (P_T) ,2. usabilité de l'information.,Degré 1,"(1) Brimbeuf, S., & Zitoumbi, R. (2022). Guide Pratique pour une restitution responsable des biens mal acquis. In transparency-france.org. Transparency International France. https://transparency-france.org/wp-content/uploads/2022/04/Guide-Pratique_WEB.pdf ; (2) Déclaration de Berne, & Global Witness. (2008, June 10). Complicité entre la DDC et RUAG. Cdn2.Globalwitness.org; Global Witness. https://cdn2.globalwitness.org/archive/files/library/microsoft_word_prfrt100608doc.pdf ; (3) Etwareea, R. (2008, June 11). Ruag proche d’un contrat de déminage en Angola. Letemps.ch; Le Temps SA. https://www.letemps.ch/suisse/ruag-proche-dun-contrat-deminage-angola","Les seuls détailles concernant les dispositions de l’accord sont dispersées à travers diverses annonces de presse et communiqués des ONG. L’accord des négociations entre les Etats n’est pas publié du tout (1). Les informations dont on dispose concernant les termes du contrat sont : Les deux gouvernements ont déterminé que ces fonds seront restitués au peuple angolais par le biais de projets de développement (2) ; 4,2 millions devraient être alloués à des projets d’éducation (projet de formation agricole) et 10 millions pour le déminage (2) ; L’accord aurait également désigné le gouvernement Angolais comme propriétaire des fonds restitués (3).",Certains contrats entre des parties prenantes ne sont pas publiés (faire descendre d'un niveau).,,Etape 1,SANS déf_Angola_codification (V3 C) copy.xlsx,,,,
Angola - Etats-Unis,E1,transparence (P_T) ,"3. temporalité, fréquence et actualisation des informations publiées",Degré 1,"(1) Brimbeuf, S., & Zitoumbi, R. (2022). Guide Pratique pour une restitution responsable des biens mal acquis. In transparency-france.org. Transparency International France. https://transparency-france.org/wp-content/uploads/2022/04/Guide-Pratique_WEB.pdf ; (2) Direction Fédérale des Affaires Étrangères. (2005, November 1). La Suisse et l’Angola signent un accord concernant la restitution des fonds provenant de la République d’Angola et actuellement bloqués en Suisse en vue de leur affectation à des projets humanitaires. Webrelief.int; Web Relief. https://reliefweb.int/report/angola/la-suisse-et-langola-signent-un-accord-concernant-la-restitution-des-fonds-provenant","L’accord des négociations entre les Etats n’est pas publié du tout. (1), mais des communiqués de presse annoncent son existence. (2)Un communiqué de presse est publié au lendemain des accords (2).",Certains contrats entre des parties prenantes ne sont pas publiés (faire descendre d'un niveau).,,Etape 1,SANS déf_Angola_codification (V3 C) copy.xlsx,,,,
Angola - Etats-Unis,E1,redevabilité (P_R),4. planification et formalisation du processus de restitution,Degré 1,"(1) Direction Fédérale des Affaires Étrangères. (2005, November 1). La Suisse et l’Angola signent un accord concernant la restitution des fonds provenant de la République d’Angola et actuellement bloqués en Suisse en vue de leur affectation à des projets humanitaires. Webrelief.int; Web Relief. https://reliefweb.int/report/angola/la-suisse-et-langola-signent-un-accord-concernant-la-restitution-des-fonds-provenant ; (2) Swiss Agency for Development and Cooperation. (2005, December 1). Bilateral agreement between Angola and Switzerland - Finalization of the implementation mechanisms. Reliefweb.int; ReliefWeb. https://reliefweb.int/report/angola/bilateral-agreement-between-angola-and-switzerland-finalization-implementation ; (3) Déclaration de Berne, & Global Witness. (2008, June 10). Complicité entre la DDC et RUAG. Cdn2.Globalwitness.org; Global Witness. https://cdn2.globalwitness.org/archive/files/library/microsoft_word_prfrt100608doc.pdf","Les accords dictent que les fonds devraient être utilisés pour bénéficier à la société angolaise (1), ce qui se fera à travers le Direction du Développement et de la Coopération (organe gouvernementale suisse). Une annonce de presse du 1er Novembre 2005 (1) précise que les parties assumeront conjointement la coordination du programme et désigneront à cette fin des représentants qui décideront de l'approbation des projets, de leur budget et de l'affectation des fonds servant à leur financement. Une réunion tenue le 30 novembre 2005 décide que la DDC sera en charge d’établir un secrétariat exécutif en charge de la gestion administrative et l’implémentation financière du programme. (2), et a désigné les représentants de chaque côté, responsables du programme. Le Bureau du secrétaire exécutif a été établit et sera chargé d'assurer le soutien et le suivi de la mise en œuvre du programme. Ainsi, les objectifs sont définis de manière générale (projets humanitaires), mais les objectifs intermédiaires mesurables et les modalités de suivi et d'évaluation précises ne sont pas rendus publics dans les documents accessibles Un communiqué de presse publié jointoient par les ONG Déclaration de Berne et Global Witness apportent des précisions sur l’affaire, mais il est publié tardivement (10 juin 2008), et ne permet donc pas de valider le degré 2 au moment des faits (3).",,,Etape 1,SANS déf_Angola_codification (V3 C) copy.xlsx,,,,
Angola - Etats-Unis,E1,redevabilité (P_R),5. tracabilité financière de la restitution,Degré 1,"(1) Swiss Agency for Development and Cooperation. (2005, December 1). Bilateral agreement between Angola and Switzerland - Finalization of the implementation mechanisms. Reliefweb.int; ReliefWeb. https://reliefweb.int/report/angola/bilateral-agreement-between-angola-and-switzerland-finalization-implementation ; (2) Open Society Justice Initiative . (2015). Open Society Justice Initiative Repatriating Stolen Assets: Potential Funding for Sustainable Development. In justice initiative.org. Open Society Foundations . https://www.justiceinitiative.org/uploads/59e79b54-69fa-46fd-a9d7-7699729ed8c4/repatriating-stolen-assets-background-20150727.pdf ; (3) Fenner Zinkernagel, G., & Attisso, K. (2013, October 23). Returning Stolen Assets - Learning from past practice. Basel Institute on Governance. https://baselgovernance.org/publications/returning-stolen-assets-learning-past-practice","Une ligne de traçabilité existe côté suisse (DDC assume la responsabilité fiduciaire) (1) (2), mais aucune garantie publique n'est documentée concernant une ligne séparée dans les comptes angolais. Les fonds étaient tenus sur un compte de la Banque Nationale Suisse, et l’Angola était nommé comme le détenteur de ces fonds, mais seulement la SDC étaient autorisée à les débloquer ou retirer (3).",,,Etape 1,SANS déf_Angola_codification (V3 C) copy.xlsx,,,,
Angola - Etats-Unis,E1,redevabilité (P_R),6. répartition des rôles ,Degré 2,"(1) Enderlin, S. (2005, December 3). Projet suisse inédit en Angola. Letemps.ch; Le Temps SA. https://www.letemps.ch/monde/projet-suisse-inedit-angola?srsltid=AfmBOoqoFw_hHlWlUe-SDYUjXYrwMZCvkoiJ79mmJCaHeDvLzPHsYA6O ; (2) Bradley, S. (2008, June 13). NGOs attack Angola demining deal. Www.swissinfo.ch; Swiss Info. https://www.swissinfo.ch/eng/swiss-politics/ngos-attack-angola-demining-deal/6727032 ; (3) Direction Fédérale des Affaires Étrangères. (2005, November 1). La Suisse et l’Angola signent un accord concernant la restitution des fonds provenant de la République d’Angola et actuellement bloqués en Suisse en vue de leur affectation à des projets humanitaires. Webrelief.int; Web Relief. https://reliefweb.int/report/angola/la-suisse-et-langola-signent-un-accord-concernant-la-restitution-des-fonds-provenant","C’est un mécanisme bilatéral qui est mis en place entre Etats (1). La compétence de choisir des partenaires appartient exclusivement aux autorités angolaises, qui sont propriétaires des fonds. Le rôle de la DDC est uniquement fiduciaire (de mandataire) et administratif pour s'assurer que les fonds sont correctement utilisés conformément aux termes de l’accord. (2) (3) Et ce, malgré la manifestation de la DB (déclaration de berne) pour un appel d’offre transparent. Les deux acteurs sont donc identifiés mais les points de contacts pas désignés publiquement. La DDC est compétente pour l’implémentation au nom de la Suisse. La préparation précise à chaque étape n’est pas non plus formalisée.",,,Etape 1,SANS déf_Angola_codification (V3 C) copy.xlsx,,,,
Angola - Etats-Unis,E1,redevabilité (P_R),7. responsabilité et recours ,Degré 0,"(1) Public Eye. (2008, October 23). Fonds détournés: rendre enfin justice à la population angolaise. Publiceye.ch; Public Eye. https://www.publiceye.ch/fr/coin-medias/communiques-de-presse/detail/fonds-detournes-rendre-enfin-justice-a-la-population-angolaise ; (2) Conseil Fédéral. (2009, March 20). Angola, DDC et RUAG. Contrats d’aide humanitaire, quelle transparence? Avis du Conseil Fédéral. Parlament.ch; Assemblée Fédérale. https://www.parlament.ch/fr/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20093261 ; (3) Wälti, C. (2008, June 12). Angola: tirs croisés contre l’agence humanitaire suisse. Www.swissinfo.ch; Swiss Info. https://www.swissinfo.ch/fre/demographie/angola-tirs-crois","La Déclaration de Berne a demandé la publication du texte de l'accord, soulignant qu'aucun mécanisme de suspension ou de contrôle indépendant n'avait été rendu visible (1). Aucune information publique ne documente l'existence de clauses de suspension, de redevabilité réciproque, ou de mécanismes de recours en cas d’irrégularité. La suisse a expressément dit qu’elle n’était pas responsable de ou l’Angola restituerait les fonds, justifiant ainsi la sélection de RUAG (2). En effet, le porte de parole de la Ddc, Jean-Philippe Jutzi, aurait expressément déclaré que c’est à l’Angola «à qui appartient cet argent, donc la compétence exclusive de choisir leurs partenaires» (3).",,,Etape 1,SANS déf_Angola_codification (V3 C) copy.xlsx,,,,
Angola - Etats-Unis,E1,inclusivité (P_I),8. niveau de détail de l’information publiée,Degré 1,"(1) Direction Fédérale des Affaires Étrangères. (2005, November 1). La Suisse et l’Angola signent un accord concernant la restitution des fonds provenant de la République d’Angola et actuellement bloqués en Suisse en vue de leur affectation à des projets humanitaires. Webrelief.int; Web Relief. https://reliefweb.int/report/angola/la-suisse-et-langola-signent-un-accord-concernant-la-restitution-des-fonds-provenant ; (2) Enderlin, S. (2005, December 3). Projet suisse inédit en Angola. Letemps.ch; Le Temps. https://www.letemps.ch/monde/projet-suisse-inedit-angola?srsltid=AfmBOoqoFw_hHlWlUe-SDYUjXYrwMZCvkoiJ79mmJCaHeDvLzPHsYA6O ; (3) Swiss Agency for Development and Cooperation. (2005, December 1). Bilateral agreement between Angola and Switzerland - Finalization of the implementation mechanisms. Reliefweb.int; ReliefWeb. https://reliefweb.int/report/angola/bilateral-agreement-between-angola-and-switzerland-finalization-implementation ; (4) Pauchard, O., & Gonçalves, C. (2005, November). La Suisse restitue des fonds à l’Angola. Swiss Info; www.swissinfo.ch. https://www.swissinfo.ch/fre/demographie/la-suisse-restitue-des-fonds-%C3%A0-l-angola/4821302 ; (5) Public Eye. (2008, October 23). Fonds détournés: rendre enfin justice à la population angolaise. Publiceye.ch; Public Eye. https://www.publiceye.ch/fr/coin-medias/communiques-de-presse/detail/fonds-detournes-rendre-enfin-justice-a-la-population-angolaise ; (6) Open Society Justice Initiative . (2015). Open Society Justice Initiative Repatriating Stolen Assets: Potential Funding for Sustainable Development. In justice initiative.org. Open Society Foundations . https://www.justiceinitiative.org/uploads/59e79b54-69fa-46fd-a9d7-7699729ed8c4/repatriating-stolen-assets-background-20150727.pdf","Les informations clé sont publiées sous la forme de communiqués de presse ou articles (Swissinfo, DDC, ReliefWeb) (1) (2). Le communiqué de presse indique que la Suisse restituera des fonds bloqués suite à des procédures des autorités judiciaires genevoises, au bénéfice de projets humanitaires en Angola, et que l'accord a été signé le 1er novembre 2005 à Genève entre le directeur général de la DDC et le Secrétaire du Conseil des ministres angolais (3) (4) (5). Le texte de l'accord n'a pas été publié. La Déclaration de Berne et Aktion Finanzplatz Schweiz ont explicitement demandé la publication du texte de l'accord entre la Suisse et l'Angola du 1er novembre 2005 (6), en accord avec l'esprit de la loi suisse sur la transparence de l'administration publique (5).",,,Etape 1,SANS déf_Angola_codification (V3 C) copy.xlsx,,,,
Angola - Etats-Unis,E1,inclusivité (P_I),9. capacité d’action : actualisation des informations ,Degré 1,"(1) Direction Fédérale des Affaires Étrangères. (2005, November 1). La Suisse et l’Angola signent un accord concernant la restitution des fonds provenant de la République d’Angola et actuellement bloqués en Suisse en vue de leur affectation à des projets humanitaires. Webrelief.int; Web Relief. https://reliefweb.int/report/angola/la-suisse-et-langola-signent-un-accord-concernant-la-restitution-des-fonds-provenant ; (2) Swiss Agency for Development and Cooperation. (2005, December 1). Bilateral agreement between Angola and Switzerland - Finalization of the implementation mechanisms. Reliefweb.int; ReliefWeb. https://reliefweb.int/report/angola/bilateral-agreement-between-angola-and-switzerland-finalization-implementation","La publication des informations concernant les négociations est à postériori. Aucune information n’est publiée sur les avancements des négociations, mais seulement sur les décisions prises.",,,Etape 1,SANS déf_Angola_codification (V3 C) copy.xlsx,,,,
Angola - Etats-Unis,E1,inclusivité (P_I),10. modalités de participation ,Degré 1,,Les OSC ne sont pas intégrées ET aucun document accessible ne permet de confirmer/vérifier que les OSC sont auditionnées dans l'objectif d'être incluses aux négociations des accords de restitutions. ,,,Etape 1,SANS déf_Angola_codification (V3 C) copy.xlsx,,,,
