Restitution,Etape,Principe,Paramètre ,Degré_Retenu_P,Sources,Justification_Degré_Retenu_P,Deal-Breaker,Commentaire,source_sheet,source_file,Source,Deal-Breaker (Oui/Non),Commentaires ,Paramètre
Guinée-Équatoriale_États-Unis,E1,transparence (P_T) ,1. modalités d'accès à l'information ,Degré 1,"(1) Settlement between Teodoro Nguema Obiang Mangue and the Government of the United States of America, (2014). https://storage.courtlistener.com/recap/gov.uscourts.cacd.578550.46.0.pdf ; (2) United States v. One White Crystal Covered Bad Tour Glove and Other Michael Jackson Memorabilia , (District Court, C.D. California September 20, 2021). https://www.courtlistener.com/docket/4147049/united-states-v-one-white-crystal-covered-bad-tour-glove-and-other-michael/ ; (3) United States v. One Michael Jackson Signed Thriller Jacket, (District Court, C.D. California October 15, 2014). https://www.courtlistener.com/docket/4150840/united-states-v-one-michael-jackson-signed-thriller-jacket/ ; (4) PR News Wire. (2014, October 10). Vice President of Equatorial Guinea Settles Case with Justice Department. Star.worldbank.org; World Bank. https://star.worldbank.org/sites/default/files/2024-12/Obiang_Statement_Settlement_Oct_10_2014.pdf ; (5) U.S. Department of Justice. (2011, October 25). Department of Justice Seeks to Recover More Than $70.8 Million in Proceeds of Corruption. Justice.gov. https://www.justice.gov/archives/opa/pr/department-justice-seeks-recover-more-708-million-proceeds-corruption-government-minister","Les décisions de justice et les accords sont publiés mais pas de manière centralisées, pas de trace en espagnol (1) (2) (3). Des annonces de presse officielles sont publiées lorsque les biens sont saisis et lors de la conclusion des accords, en donnant les informations générales et essentielles sur l’affaire. (4) et (5). Par ailleurs, n’est pas disponible sur internet (2) l’accord final de 2021, qui décide d’allouer les fonds à MCDI et à l’ONU pour la distribution de vaccins et soins médicaux, ce qui fait baisser le degré d’une échelle. Ainsi, le degré retenu est le degré 1. ",Certains contrats entre des parties prenantes ne sont pas publiés (faire descendre d'un niveau).,,Etape 1,SANS déf_EG-USA_codificaation (V3 C) copy.xlsx,,,,
Guinée-Équatoriale_États-Unis,E1,transparence (P_T) ,2. usabilité de l'information.,Degré 2,"(1) Settlement between Teodoro Nguema Obiang Mangue and the Government of the United States of America, (2014). https://storage.courtlistener.com/recap/gov.uscourts.cacd.578550.46.0.pdf ; (2) United States v. One White Crystal Covered Bad Tour Glove and Other Michael Jackson Memorabilia , (District Court, C.D. California September 20, 2021). https://www.courtlistener.com/docket/4147049/united-states-v-one-white-crystal-covered-bad-tour-glove-and-other-michael/ ; (3) United States v. One Michael Jackson Signed Thriller Jacket, (District Court, C.D. California October 15, 2014). https://www.courtlistener.com/docket/4150840/united-states-v-one-michael-jackson-signed-thriller-jacket/","Publications des documents officiels sous la forme de pdf pas bien navigable. N’est pas disponible sur internet (2) l’accord final de 2021, qui décide d’allouer les fonds à MCDI et à l’ONU pour la distribution de vaccins et soins médicaux, ce qui fait baisser le degré d’une échelle. Ainsi, le degré retenu est le degré 2.",Certains contrats entre des parties prenantes ne sont pas publiés (faire descendre d'un niveau).,,Etape 1,SANS déf_EG-USA_codificaation (V3 C) copy.xlsx,,,,
Guinée-Équatoriale_États-Unis,E1,transparence (P_T) ,"3. temporalité, fréquence et actualisation des informations publiées",Degré 3,"(1) Settlement between Teodoro Nguema Obiang Mangue and the Government of the United States of America, (2014). https://storage.courtlistener.com/recap/gov.uscourts.cacd.578550.46.0.pdf ; (2) United States v. One White Crystal Covered Bad Tour Glove and Other Michael Jackson Memorabilia , (District Court, C.D. California September 20, 2021). https://www.courtlistener.com/docket/4147049/united-states-v-one-white-crystal-covered-bad-tour-glove-and-other-michael/ ; (3) United States v. One Michael Jackson Signed Thriller Jacket, (District Court, C.D. California October 15, 2014). https://www.courtlistener.com/docket/4150840/united-states-v-one-michael-jackson-signed-thriller-jacket/ ; (4) PR News Wire. (2014, October 10). Vice President of Equatorial Guinea Settles Case with Justice Department. Star.worldbank.org; World Bank. https://star.worldbank.org/sites/default/files/2024-12/Obiang_Statement_Settlement_Oct_10_2014.pdf ; (5) U.S. Department of Justice. (2011, October 25). Department of Justice Seeks to Recover More Than $70.8 Million in Proceeds of Corruption. Justice.gov. https://www.justice.gov/archives/opa/pr/department-justice-seeks-recover-more-708-million-proceeds-corruption-government-minister ; (6) U.S. Department of Homeland Security. (2014, October 9). Second vice president of Equatorial Guinea agrees to relinquish more than $30 million of assets purchased with corruption proceeds. Ice.gov. https://www.ice.gov/news/releases/second-vice-president-equatorial-guinea-agrees-relinquish-more-30-million-assets","Les décisions de justice ainsi que l’accord à l’amiable, sont annoncés au public et publiés dans les archives de la cour au lendemain de leur signature.",Certains contrats entre des parties prenantes ne sont pas publiés (faire descendre d'un niveau).,,Etape 1,SANS déf_EG-USA_codificaation (V3 C) copy.xlsx,,,,
Guinée-Équatoriale_États-Unis,E1,redevabilité (P_R),4. planification et formalisation du processus de restitution,Degré 1,"(1) Brimbeuf, S., & Zitoumbi, R. (2022). Guide Pratique pour une restitution responsable des biens mal acquis. In transparency-france.org. Transparency International France. https://transparency-france.org/wp-content/uploads/2022/04/Guide-Pratique_WEB.pdf ; (2) Settlement between Teodoro Nguema Obiang Mangue and the Government of the United States of America, (2014). https://storage.courtlistener.com/recap/gov.uscourts.cacd.578550.46.0.pdf","Les objectifs finaux, à savoir que l’argent bénéficies à la population, ainsi que l’objectif d’empêcher TNO de dissimuler d'autres fonds détournés aux États-Unis, dans sont énoncés dans l’accord à l’amiable de 2014. Cependant, l’accord de 2021 n’était pas disponible en ligne, aucun document public ne permet de dégager des objectifs clairs quand à la modalité de restitution. Mise à part l’allocation des fonds pour l’ONU ou MCDI, il n’y a pas de cadre complet de la restitution, ni de suivi-évaluation prévu et défini. Les accords eux même, seule source d’information sur les modalités concrètes ne pose que des condition, il n’y a pas d’information supplémentaire aux subjectifs finaux.",,,Etape 1,SANS déf_EG-USA_codificaation (V3 C) copy.xlsx,,,,
Guinée-Équatoriale_États-Unis,E1,redevabilité (P_R),5. tracabilité financière de la restitution,Degré 1,"Settlement between Teodoro Nguema Obiang Mangue and the Government of the United States of America, (2014). https://storage.courtlistener.com/recap/gov.uscourts.cacd.578550.46.0.pdf","Aucune garantie n’existe sur la création d’une lignes de compte séparées du côté américain. On sait cependant que les fonds ne seront pas versés au gouvernement guinéen, ce qui empêche leur détournement par des personnalités publiques (1).",,,Etape 1,SANS déf_EG-USA_codificaation (V3 C) copy.xlsx,,,,
Guinée-Équatoriale_États-Unis,E1,redevabilité (P_R),6. répartition des rôles ,Degré 2,"(1) Sherpa Association, & Transparency International France. (2012, July 13). “Biens Mal Acquis” Case: Teodorin Obiang refuses to appear before judicial authorities - UNCAC Coalition. UNCAC Coalition. https://uncaccoalition.org/biens-mal-acquis-case-teodorin-obiang-refuses-to-appear-before-judicial-authorities/ ; (2) Open Society Justice Initiative et al. (2014). Civil Society Letter to the U.S. Department of Justice Corruption Settlement. Justiceinitiative.org. https://www.justiceinitiative.org/newsroom/civil-society-groups-urge-us-caution-equatorial-guinea-corruption-settlement ; (3) Nate Sibley. (2021, September). Transcript: Obiang’s Kleptocracy in Equatorial Guinea. In Hudson Institute. Hudson Institute. https://www.hudson.org/foreign-policy/transcript-obiang-s-kleptocracy-in-equatorial-guinea","Les autorités principales sont identifiées (DOJ Criminal Division / MLARS — Money Laundering and Asset Recovery Section ; ONU ; MCDI). Chief Gene Patton et Deputy Chief Adam J. Schwartz de la Criminal Division sont cités comme ayant géré le dossier. Parmi les membres du comité du Plan B, éventuellement activé après plusieurs années de négociations qui n’ont pas abouti, sont identifiés (3). Y figuraient l'ambassadeur des États-Unis en Guinée équatoriale, l'ambassadeur de la Guinée équatoriale aux États-Unis, puis le tribunal a finalement décidé qu'un ancien ambassadeur américain en Guinée équatoriale présiderait le comité. Mais aucun point de contact explicite n'est désigné pour la société civile ou les citoyens équato-guinéens, et l'étape d'intervention des différentes autorités n'est pas détaillée. Cependant, la lettre au ministre américain de la Justice, Eric Holder, par des organisations de la société civile et notamment Open Society Justice Initiative, montre que la mise en contact est possible. ",,,Etape 1,SANS déf_EG-USA_codificaation (V3 C) copy.xlsx,,,,
Guinée-Équatoriale_États-Unis,E1,redevabilité (P_R),7. responsabilité et recours ,Degré 1,"(1) Nate Sibley. (2021, September). Transcript: Obiang’s Kleptocracy in Equatorial Guinea. In Hudson Institute. Hudson Institute. https://www.hudson.org/foreign-policy/transcript-obiang-s-kleptocracy-in-equatorial-guinea ; (2) MCD Global. (2026). Equatorial Guinea. Www.mcd.org. https://www.mcd.org/where-we-work/equatorial-guinea ; (3) Conmoción Ecuatoguineana de Justicia. (2024). Guinea Ecuatorial Informe de Evaluación. CIFAR. https://cifar.eu/assets/2024-capar-assessment-eg.pdf ; (4) EG Justice. (2025, October 2). Switzerland: Agreement Fails the Victims in Equatorial Guinea. Egjustice.org. https://egjustice.org/content/switzerland-agreement-fails-the-victims-in-equatorial-guinea","Aucun mécanisme de redevabilité réciproque entre États n'est publiquement formalisé. Il y a une clause en cas d’irrégularité, qui confirme que si l'une des parties n'est pas satisfaite du fonctionnement de ces organisations, le tribunal aux États-Unis conserve sa compétence sur l'accord de règlement et nous pouvons porter ces problèmes à l'attention du tribunal dans l'espoir de parvenir à une solution (1). Jusque maintenant encore, aucun suivi n’a été effectué sur l’efficacité ou la bonne utilisation des fonds sur le site de MCDI ou de la part de l’ONU(2), ce que la société civile dénonce (3) (4).",,,Etape 1,SANS déf_EG-USA_codificaation (V3 C) copy.xlsx,,,,
Guinée-Équatoriale_États-Unis,E1,inclusivité (P_I),8. niveau de détail de l’information publiée,Degré 1,"(1) Settlement between Teodoro Nguema Obiang Mangue and the Government of the United States of America, (2014). https://storage.courtlistener.com/recap/gov.uscourts.cacd.578550.46.0.pdf ; (2) United States v. One White Crystal Covered Bad Tour Glove and Other Michael Jackson Memorabilia , (District Court, C.D. California September 20, 2021). https://www.courtlistener.com/docket/4147049/united-states-v-one-white-crystal-covered-bad-tour-glove-and-other-michael/ ; (3) United States v. One Michael Jackson Signed Thriller Jacket, (District Court, C.D. California October 15, 2014). https://www.courtlistener.com/docket/4150840/united-states-v-one-michael-jackson-signed-thriller-jacket/ ; (4) PR News Wire. (2014, October 10). Vice President of Equatorial Guinea Settles Case with Justice Department. Star.worldbank.org; World Bank. https://star.worldbank.org/sites/default/files/2024-12/Obiang_Statement_Settlement_Oct_10_2014.pdf ; (5) U.S. Department of Justice. (2011, October 25). Department of Justice Seeks to Recover More Than $70.8 Million in Proceeds of Corruption. Justice.gov. https://www.justice.gov/archives/opa/pr/department-justice-seeks-recover-more-708-million-proceeds-corruption-government-minister ; (6) U.S. Department of Homeland Security. (2014, October 9). Second vice president of Equatorial Guinea agrees to relinquish more than $30 million of assets purchased with corruption proceeds. Ice.gov. https://www.ice.gov/news/releases/second-vice-president-equatorial-guinea-agrees-relinquish-more-30-million-assets","Les informations concernant la nature de l’affaire et les décisions de confiscations, ainsi que les personnes morales et physiques impliquées sont publiées en détail. Les communiqués contiennent des informations générales (parties, montants globaux, rappel des charges), mais le calendrier précis, les modalités de suivi et les responsables en charge de la restitution ne sont pas publiés. Aucune justification sur les décisions prises concernant les modalités de restitution n’est apportée. ",,,Etape 1,SANS déf_EG-USA_codificaation (V3 C) copy.xlsx,,,,
Guinée-Équatoriale_États-Unis,E1,inclusivité (P_I),9. capacité d’action : actualisation des informations ,Degré 1,"(1) Settlement between Teodoro Nguema Obiang Mangue and the Government of the United States of America, (2014). https://storage.courtlistener.com/recap/gov.uscourts.cacd.578550.46.0.pdf ; (2) United States v. One White Crystal Covered Bad Tour Glove and Other Michael Jackson Memorabilia , (District Court, C.D. California September 20, 2021). https://www.courtlistener.com/docket/4147049/united-states-v-one-white-crystal-covered-bad-tour-glove-and-other-michael/ ; (3) United States v. One Michael Jackson Signed Thriller Jacket, (District Court, C.D. California October 15, 2014). https://www.courtlistener.com/docket/4150840/united-states-v-one-michael-jackson-signed-thriller-jacket/ ; (4) PR News Wire. (2014, October 10). Vice President of Equatorial Guinea Settles Case with Justice Department. Star.worldbank.org; World Bank. https://star.worldbank.org/sites/default/files/2024-12/Obiang_Statement_Settlement_Oct_10_2014.pdf ; (5) U.S. Department of Justice. (2011, October 25). Department of Justice Seeks to Recover More Than $70.8 Million in Proceeds of Corruption. Justice.gov. https://www.justice.gov/archives/opa/pr/department-justice-seeks-recover-more-708-million-proceeds-corruption-government-minister ; (6) U.S. Department of Homeland Security. (2014, October 9). Second vice president of Equatorial Guinea agrees to relinquish more than $30 million of assets purchased with corruption proceeds. Ice.gov. https://www.ice.gov/news/releases/second-vice-president-equatorial-guinea-agrees-relinquish-more-30-million-assets","Publication uniquement des décisions clés mais pas de mise à jour régulière sur les avancées des négociations pendant qu’elles ont lieu. La publication est par ailleurs éparpillée, entre le site de la DOJ et celui de ICE, et les documents officiels relatifs à l’affaire sur le site des archives de la Cour. ",,,Etape 1,SANS déf_EG-USA_codificaation (V3 C) copy.xlsx,,,,
Guinée-Équatoriale_États-Unis,E1,inclusivité (P_I),10. modalités de participation ,Degré 1,"(1) Sherpa Association, & Transparency International France. (2012, July 13). “Biens Mal Acquis” Case: Teodorin Obiang refuses to appear before judicial authorities - UNCAC Coalition. UNCAC Coalition. https://uncaccoalition.org/biens-mal-acquis-case-teodorin-obiang-refuses-to-appear-before-judicial-authorities/ ; (2) Open Society Justice Initiative et al. (2014). Civil Society Letter to the U.S. Department of Justice Corruption Settlement. Justiceinitiative.org. https://www.justiceinitiative.org/newsroom/civil-society-groups-urge-us-caution-equatorial-guinea-corruption-settlement ; (3) U.S. Department of Justice. (2014, October 10). Second Vice President of Equatorial Guinea Agrees to Relinquish More Than $30 Million of Assets Purchased with Corruption Proceeds. Justice.gov. https://www.justice.gov/archives/opa/pr/second-vice-president-equatorial-guinea-agrees-relinquish-more-30-million-assets-purchased","Aucun dialogue « à quatre voix » n'a été mis en place. Les OSC (Open Society Justice Initiative, APDHE, Sherpa, EG Justice) n'ont pu intervenir que par lettre ouverte à l'Attorney General, sans être formellement associées ni consultées. Il s'agissait d'un plaidoyer externe, pas d'une participation aux négociations (1) (2) (3).",,,Etape 1,SANS déf_EG-USA_codificaation (V3 C) copy.xlsx,,,,
